A/C,UT,RH_OT,UT_OT,N,RH_UT,RH,OT
malli NR,0.253061224,0.102040816,0.106122449,0.053061224,0.07755102,0.232653061,0.175510204
malli MR,0.111111111,0,0.222222222,0.111111111,0,0.111111111,0.444444444
malli KR,0.303220036,0.100178891,0.063506261,0.054561717,0.084973166,0.249552773,0.144007156
malli LR,0.411764706,0.058823529,0.019607843,0.058823529,0.117647059,0.215686275,0.117647059
mango HR,0.5,0,0,0,0,0,0.5
mango NR,0.323404255,0.085106383,0.165957447,0.055319149,0.05106383,0.178723404,0.140425532
mango MR,0.333333333,0,0.222222222,0,0.333333333,0.111111111,0
mango KR,0.293963255,0.102362205,0.045494313,0.055993001,0.090988626,0.258092738,0.153105862
mango LR,0.228571429,0.085714286,0.2,0.028571429,0.028571429,0.285714286,0.142857143
mushroom HR,0.5,0,0,0,0,0,0.5
mushroom NR,0.299363057,0.133757962,0.121019108,0.025477707,0.082802548,0.21656051,0.121019108
mushroom MR,0.4,0,0.2,0,0,0.2,0.2
mushroom KR,0.30122449,0.095510204,0.06122449,0.059591837,0.080816327,0.250612245,0.151020408
mushroom LR,0.142857143,0.057142857,0.142857143,0.028571429,0.228571429,0.171428571,0.228571429
nuckol HR,0,0,0,0,0,1,0
nuckol NR,0.37755102,0.081632653,0.040816327,0.030612245,0.102040816,0.224489796,0.142857143
nuckol MR,0.333333333,0,0,0,0.666666667,0,0
nuckol KR,0.291730475,0.100306279,0.073506891,0.052067381,0.080398162,0.248851455,0.153139357
nuckol LR,0.3125,0.0625,0,0.4375,0.1875,0,0
onion HR,0.333333333,0.333333333,0.166666667,0,0,0.166666667,0
onion NR,0.293239684,0.085162423,0.078138718,0.043898156,0.083406497,0.262510975,0.153643547
onion MR,0.340425532,0.234042553,0.021276596,0.021276596,0.127659574,0.127659574,0.127659574
onion KR,0.142857143,0.017857143,0,0.464285714,0.071428571,0.107142857,0.196428571
onion LR,0.363636364,0.164772727,0.051136364,0.005681818,0.085227273,0.204545455,0.125
peas HR,0,0,0,0,0,1,0
peas NR,0.284122563,0.077994429,0.08913649,0.044568245,0.103064067,0.236768802,0.164345404
peas MR,0.461538462,0,0,0,0,0.307692308,0.230769231
peas KR,0.302904564,0.106846473,0.069502075,0.056016598,0.075726141,0.243775934,0.145228216
peas LR,0.275862069,0.103448276,0.011494253,0.091954023,0.114942529,0.264367816,0.137931034
potroot HR,0,0.333333333,0,0,0,0.333333333,0.333333333
potroot NR,0.279017857,0.082589286,0.069196429,0.051339286,0.104910714,0.254464286,0.158482143
potroot MR,0.333333333,0.194444444,0,0,0.166666667,0.166666667,0.138888889
potroot KR,0.294674556,0.099408284,0.065088757,0.063905325,0.069822485,0.252071006,0.155029586
potroot LR,0.413043478,0.119565217,0.152173913,0.010869565,0.086956522,0.152173913,0.065217391
paneer HR,0,0,0,0,0,0,1
paneer NR,0.295302013,0.154362416,0.060402685,0,0.140939597,0.22147651,0.127516779
paneer MR,0.076923077,0,0.384615385,0,0.153846154,0.307692308,0.076923077
paneer KR,0.299270073,0.094079481,0.064882401,0.063260341,0.077047851,0.248175182,0.153284672
paneer LR,0.357142857,0.035714286,0.214285714,0,0.071428571,0.178571429,0.142857143
potato HR,0.25,0,0.166666667,0.25,0,0.25,0.083333333
potato NR,0.288187373,0.104887984,0.065173116,0.040733198,0.078411405,0.265784114,0.156822811
potato MR,0.5,0.117647059,0.088235294,0,0.088235294,0.147058824,0.058823529
potato KR,0.280851064,0.093617021,0.076595745,0.136170213,0.080851064,0.2,0.131914894
potato LR,0.341614907,0.068322981,0.080745342,0.01863354,0.130434783,0.198757764,0.161490683
pumkin HR,1,0,0,0,0,0,0
pumkin NR,0.2625,0.13125,0.10625,0.05625,0.09375,0.15,0.2
pumkin MR,0.4,0,0,0,0.4,0.2,0
pumkin KR,0.305349794,0.089711934,0.063374486,0.056790123,0.07654321,0.261728395,0.146502058
pumkin LR,0.186046512,0.23255814,0.139534884,0,0.23255814,0.11627907,0.093023256
pudina HR,0.071428571,0.428571429,0.357142857,0,0,0.071428571,0.071428571
pudina NR,0.298319328,0.138655462,0.079831933,0.046218487,0.084033613,0.18487395,0.168067227
pudina MR,0.105263158,0.105263158,0.052631579,0.105263158,0.210526316,0.157894737,0.263157895
pudina KR,0.299460432,0.086330935,0.067446043,0.054856115,0.082733813,0.263489209,0.145683453
pudina LR,0.414634146,0.073170732,0,0.097560976,0.097560976,0.170731707,0.146341463
radish HR,1,0,0,0,0,0,0
radish NR,0.312274368,0.106498195,0.075812274,0.045126354,0.070397112,0.245487365,0.144404332
radish MR,0.272727273,0.136363636,0.045454545,0.045454545,0.090909091,0.227272727,0.181818182
radish KR,0.276089828,0.093791281,0.062087186,0.066050198,0.092470277,0.252311757,0.157199472
radish LR,0.382022472,0.078651685,0.112359551,0.02247191,0.101123596,0.179775281,0.123595506
tomato HR,0.166666667,0.166666667,0,0,0.166666667,0.333333333,0.166666667
tomato NR,0.293118856,0.101876676,0.061662198,0.046470063,0.08489723,0.255585344,0.156389634
tomato MR,0.244897959,0.040816327,0.408163265,0,0.12244898,0.142857143,0.040816327
tomato KR,0.136363636,0.181818182,0.056818182,0.295454545,0.045454545,0.159090909,0.125
tomato LR,0.438271605,0.043209877,0.037037037,0,0.086419753,0.240740741,0.154320988
tondaikai NR,0.263157895,0.094736842,0.094736842,0.042105263,0.178947368,0.221052632,0.105263158
tondaikai LR,0.75,0,0.25,0,0,0,0
tondaikai KR,0.298867925,0.098867925,0.067924528,0.055849057,0.077735849,0.246792453,0.153962264
vazpooThandu HR,0.666666667,0,0,0,0,0,0.333333333
vazpooThandu NR,0.287769784,0.079136691,0.071942446,0.050359712,0.100719424,0.223021583,0.18705036
vazpooThandu MR,0,0,1,0,0,0,0
vazpooThandu KR,0.295016077,0.098874598,0.067524116,0.057073955,0.083601286,0.248392283,0.149517685
vazpooThandu LR,0.46875,0.1875,0,0,0.0625,0.25,0.03125
yams HR,0.6,0,0.2,0,0,0,0.2
yams NR,0.260683761,0.106837607,0.064102564,0.064102564,0.098290598,0.247863248,0.158119658
yams MR,0.375,0.21875,0.03125,0.03125,0.15625,0.09375,0.09375
yams KR,0.298113208,0.095283019,0.066037736,0.056603774,0.074528302,0.254716981,0.154716981
yams LR,0.344086022,0.075268817,0.139784946,0.021505376,0.139784946,0.182795699,0.096774194
gram HR,0.268292683,0.268292683,0,0.024390244,0.170731707,0.146341463,0.12195122
gram NR,0.292217327,0.102790015,0.083700441,0.032305433,0.067547724,0.255506608,0.165932452
gram MR,0.251082251,0.138528139,0.082251082,0.051948052,0.082251082,0.277056277,0.116883117
gram KR,0.111111111,0,0,0.638888889,0.027777778,0.083333333,0.138888889
gram LR,0.349425287,0.062068966,0.055172414,0.045977011,0.108045977,0.232183908,0.147126437
channa HR,0.40625,0.25,0,0.03125,0,0.1875,0.125
channa NR,0.328185328,0.071428571,0.057915058,0.034749035,0.1003861,0.227799228,0.17953668
channa MR,0.314465409,0.050314465,0.113207547,0.031446541,0.081761006,0.270440252,0.13836478
channa KR,0.264102564,0.123076923,0.071794872,0.1,0.030769231,0.251282051,0.158974359
channa ?,1,0,0,0,0,0,0
channa LR,0.268518519,0.12037037,0.074074074,0.046296296,0.132716049,0.25617284,0.101851852
dhal HR,0.272727273,0.409090909,0.136363636,0,0.090909091,0.090909091,0
dhal NR,0.291316527,0.095238095,0.073762838,0.038281979,0.091503268,0.254901961,0.154995331
dhal MR,0.329113924,0.202531646,0.101265823,0.037974684,0.063291139,0.139240506,0.126582278
dhal KR,0.202531646,0.012658228,0,0.316455696,0.037974684,0.253164557,0.17721519
dhal LR,0.369942197,0.069364162,0.057803468,0.052023121,0.069364162,0.242774566,0.138728324
maida HR,0.1,0.2,0.1,0,0.1,0.4,0.1
maida NR,0.293405114,0.088829071,0.060565276,0.039030956,0.106325707,0.238223419,0.173620458
maida MR,0.318181818,0.204545455,0.045454545,0.022727273,0.045454545,0.204545455,0.159090909
maida KR,0.304878049,0.087804878,0.056097561,0.097560976,0.068292683,0.246341463,0.13902439
maida LR,0.304147465,0.124423963,0.133640553,0.036866359,0.046082949,0.262672811,0.092165899
oats HR,1,0,0,0,0,0,0
oats NR,0.253246753,0.103896104,0.11038961,0.045454545,0.11038961,0.227272727,0.149350649
oats MR,0.142857143,0,0,0,0.571428571,0.285714286,0
oats KR,0.302325581,0.098636728,0.066559743,0.056936648,0.078588613,0.247794707,0.149157979
oats LR,0.4,0.066666667,0,0,0.066666667,0.133333333,0.333333333
ragi HR,0.5,0.25,0,0,0,0.25,0
ragi NR,0.335025381,0.131979695,0.121827411,0.050761421,0.040609137,0.16751269,0.152284264
ragi MR,0.428571429,0,0.071428571,0,0.071428571,0.071428571,0.357142857
ragi KR,0.290488432,0.095115681,0.062553556,0.055698372,0.083119109,0.264781491,0.148243359
ragi LR,0.261904762,0.047619048,0.047619048,0.071428571,0.333333333,0.095238095,0.142857143
rice NR,0.341666667,0.15,0.108333333,0.025,0.15,0.133333333,0.091666667
rice MR,0,0,0,0,1,0,0
rice LR,0.333333333,0,0,0,0,0.5,0.166666667
rice KR,0.293754819,0.094063223,0.067077872,0.057825752,0.077872012,0.253662298,0.155744025
wheat HR,0.461538462,0.076923077,0,0,0,0.230769231,0.230769231
wheat NR,0.285994123,0.083251714,0.066601371,0.049951028,0.087169442,0.262487757,0.164544564
wheat MR,0.381818182,0.145454545,0.127272727,0,0.181818182,0.109090909,0.054545455
wheat KR,0.303797468,0.139240506,0.056962025,0.164556962,0.03164557,0.170886076,0.132911392
wheat LR,0.322033898,0.13559322,0.09039548,0.005649718,0.09039548,0.248587571,0.107344633
coconut HR,0.666666667,0,0,0.333333333,0,0,0
coconut NR,0.291017964,0.110179641,0.071856287,0.044311377,0.077844311,0.241916168,0.162874251
coconut MR,0.346938776,0.06122449,0.12244898,0,0.224489796,0.163265306,0.081632653
coconut KR,0.276315789,0.078947368,0.052631579,0.092105263,0.081578947,0.278947368,0.139473684
coconut LR,0.357142857,0.097402597,0.090909091,0.025974026,0.084415584,0.207792208,0.136363636
oil HR,0.5,0,0,0,0,0.125,0.375
oil NR,0.311178248,0.145015106,0.123867069,0.039274924,0.069486405,0.196374622,0.114803625
oil MR,0.451612903,0.064516129,0.064516129,0,0.129032258,0.064516129,0.225806452
oil KR,0.282051282,0.092307692,0.042051282,0.062564103,0.088205128,0.277948718,0.154871795
oil LR,0.35443038,0,0.202531646,0.050632911,0.088607595,0.113924051,0.189873418
garlic HR,0.428571429,0.285714286,0.142857143,0,0,0,0.142857143
garlic NR,0.33271719,0.121996303,0.068391867,0.046210721,0.044362292,0.258780037,0.12754159
garlic MR,0.352941176,0.117647059,0.176470588,0,0.058823529,0.176470588,0.117647059
garlic KR,0.271117166,0.079019074,0.0626703,0.069482289,0.117166213,0.239782016,0.160762943
garlic LR,0.277777778,0.092592593,0.092592593,0.018518519,0.074074074,0.240740741,0.203703704
ginger HR,0.833333333,0,0,0,0,0,0.166666667
ginger NR,0.319767442,0.104651163,0.106589147,0.03875969,0.052325581,0.253875969,0.124031008
ginger MR,0.263157895,0.157894737,0.105263158,0.026315789,0.078947368,0.131578947,0.236842105
ginger KR,0.268929504,0.083550914,0.052219321,0.07310705,0.107049608,0.249347258,0.165796345
ginger LR,0.387755102,0.163265306,0.010204082,0.010204082,0.081632653,0.214285714,0.132653061
pepper NR,0.301886792,0.188679245,0.125786164,0.025157233,0.06918239,0.150943396,0.13836478
pepper LR,0.34375,0.0625,0.15625,0,0.09375,0.25,0.09375
pepper MR,0.333333333,0,0.333333333,0,0,0.166666667,0.166666667
pepper KR,0.295843521,0.08801956,0.059494703,0.060309698,0.086389568,0.256723716,0.153219234
tamarind HR,0.642857143,0.071428571,0,0,0,0.142857143,0.142857143
tamarind NR,0.303664921,0.133507853,0.073298429,0.035340314,0.087696335,0.239528796,0.126963351
tamarind MR,0.259259259,0.185185185,0.092592593,0.074074074,0.074074074,0.074074074,0.240740741
tamarind KR,0.269047619,0.04047619,0.030952381,0.102380952,0.076190476,0.3,0.180952381
tamarind LR,0.325581395,0.058139535,0.151162791,0.023255814,0.098837209,0.191860465,0.151162791
aginomoto HR,0.5,0.25,0,0,0.25,0,0
aginomoto NR,0.270348837,0.139534884,0.110465116,0.040697674,0.113372093,0.209302326,0.11627907
aginomoto MR,0.361111111,0.055555556,0.083333333,0.027777778,0.138888889,0.194444444,0.138888889
aginomoto KR,0.303680982,0.084867076,0.052147239,0.061349693,0.073619632,0.260736196,0.163599182
aginomoto LR,0.306451613,0.096774194,0.129032258,0.048387097,0.048387097,0.225806452,0.14516129
spices HR,0.5,0,0,0,0,0.5,0
spices NR,0.284263959,0.116751269,0.096446701,0.020304569,0.162436548,0.187817259,0.131979695
spices MR,0.625,0,0.125,0,0,0.25,0
spices KR,0.297205758,0.087214225,0.066045724,0.060965284,0.074513124,0.256562235,0.157493649
spices LR,0.305555556,0.388888889,0.055555556,0.055555556,0,0.138888889,0.055555556
coco HR,0,0.25,0,0,0,0.5,0.25
coco NR,0.220689655,0.172413793,0.131034483,0.020689655,0.131034483,0.186206897,0.137931034
coco MR,0.4,0,0,0,0,0.2,0.4
coco KR,0.306220096,0.090909091,0.060606061,0.059808612,0.079744817,0.250398724,0.1523126
coco LR,0.375,0,0.3125,0,0.0625,0.25,0
horlicks KR,0.297752809,0.098314607,0.070224719,0.054775281,0.084269663,0.244382022,0.150280899
boost NR,0,0,0,0,0,1,0
boost KR,0.297962052,0.098383696,0.070274069,0.054813774,0.084328883,0.243851019,0.150386507
sdrink NR,0.325,0.1625,0.1375,0.0375,0.125,0.1625,0.05
sdrink LR,0.142857143,0.071428571,0.428571429,0.071428571,0.142857143,0,0.142857143
sdrink MR,0,0,0.333333333,0,0,0.333333333,0.333333333
sdrink KR,0.298417483,0.094951017,0.061793519,0.055764883,0.081386586,0.251695554,0.155990957
hdrink NR,0.324675325,0.168831169,0.155844156,0.038961039,0.090909091,0.168831169,0.051948052
hdrink LR,0.230769231,0.076923077,0.384615385,0.076923077,0,0.076923077,0.153846154
hdrink MR,0.25,0,0.25,0,0,0.25,0.25
hdrink KR,0.296992481,0.094736842,0.061654135,0.055639098,0.084962406,0.25037594,0.155639098
sfruit HR,0.243902439,0.146341463,0.170731707,0.048780488,0.170731707,0.146341463,0.073170732
sfruit NR,0.235294118,0.044117647,0.102941176,0.029411765,0.191176471,0.205882353,0.191176471
sfruit MR,0.335877863,0.122137405,0.129770992,0.015267176,0.190839695,0.114503817,0.091603053
sfruit KR,0.311170213,0.065159574,0.029255319,0.061170213,0.049202128,0.309840426,0.174202128
sfruit LR,0.277777778,0.152777778,0.108796296,0.060185185,0.087962963,0.185185185,0.127314815
wfruit HR,0.523809524,0.095238095,0.095238095,0.047619048,0,0.142857143,0.095238095
wfruit NR,0.282352941,0.070588235,0.082352941,0.047058824,0.129411765,0.223529412,0.164705882
wfruit MR,0.258333333,0.158333333,0.166666667,0,0.216666667,0.133333333,0.066666667
wfruit KR,0.305626598,0.072890026,0.029411765,0.062659847,0.047314578,0.310741688,0.171355499
wfruit LR,0.286057692,0.134615385,0.115384615,0.057692308,0.110576923,0.161057692,0.134615385
lime HR,0.75,0,0,0,0,0.25,0
lime NR,0.302325581,0.201550388,0.100775194,0.054263566,0.046511628,0.15503876,0.139534884
lime MR,0.2,0,0.4,0,0,0.2,0.2
lime KR,0.293004115,0.085596708,0.066666667,0.055144033,0.087242798,0.26090535,0.151440329
lime LR,0.352112676,0.14084507,0.056338028,0.056338028,0.112676056,0.126760563,0.154929577
nuts HR,0.282051282,0.051282051,0.128205128,0.051282051,0.128205128,0.282051282,0.076923077
nuts NR,0.246428571,0.185714286,0.071428571,0.05,0.121428571,0.182142857,0.142857143
nuts MR,0.277777778,0.157407407,0.083333333,0.027777778,0.138888889,0.194444444,0.12037037
nuts KR,0.306372549,0.055147059,0.051470588,0.06372549,0.056372549,0.294117647,0.172794118
nuts LR,0.35359116,0.132596685,0.132596685,0.038674033,0.110497238,0.138121547,0.093922652
runningnose YES,0.012939002,0.216266174,0.012939002,0.012939002,0.186691312,0.519408503,0.038817006
runningnose NO,0.472253681,0.026047565,0.105322763,0.080407701,0.021517554,0.07587769,0.218573046
sneeze YES,0.015151515,0.193602694,0.013468013,0.011784512,0.176767677,0.53030303,0.058922559
sneeze NO,0.5,0.030120482,0.110843373,0.085542169,0.018072289,0.039759036,0.215662651
cough YES,0.014084507,0.185110664,0.026156942,0.016096579,0.146881288,0.492957746,0.118712274
cough NO,0.449838188,0.051779935,0.093851133,0.075512406,0.050701187,0.111111111,0.167206041
wheezeBlocks YES,0.015810277,0.177865613,0.029644269,0.007905138,0.158102767,0.472332016,0.138339921
wheezeBlocks NO,0.453159041,0.054466231,0.092592593,0.080610022,0.043572985,0.118736383,0.156862745
headache YES,0.034351145,0.259541985,0.003816794,0.019083969,0.217557252,0.374045802,0.091603053
headache NO,0.357142857,0.061962134,0.085197935,0.062822719,0.054216867,0.215146299,0.163511188
itching NO,0.01884058,0.197101449,0.008695652,0.092753623,0.008695652,0.498550725,0.175362319
itching YES,0.559945504,0.005449591,0.128065395,0.019073569,0.155313351,0.005449591,0.126702997
swelling NO,0.154162384,0.143884892,0.047276465,0.068859198,0.034943474,0.355601233,0.195272354
swelling YES,0.607538803,0,0.119733925,0.024390244,0.190687361,0.00443459,0.053215078
redrashes NO,0.167818361,0.138203356,0.060217177,0.065153011,0.032576505,0.340572557,0.195459033
redrashes YES,0.618004866,0,0.094890511,0.02919708,0.211678832,0.00729927,0.03892944
FHistory YES,0.25498008,0.164674635,0.088977424,0.007968127,0.131474104,0.193891102,0.158034529
FHistory NO,0.345752608,0.023845007,0.049180328,0.107302534,0.031296572,0.301043219,0.141579732
gender ?,0.5,0,0,0,0,0,0.5
gender F,0.333333333,0.098666667,0.064,0.046666667,0.106666667,0.204,0.146666667
gender M,0.257440476,0.098214286,0.077380952,0.063988095,0.05952381,0.290178571,0.15327381
