A/C,RH_UT,N,RH,UT_OT,RH_OT,OT,UT
housedust NR,0.032258065,0.04516129,0.167741935,0.012903226,0.038709677,0.232258065,0.470967742
housedust KR,0,0,0,0,0,0,1
housedust MR,0.044262295,0.045901639,0.273770492,0.037704918,0.063934426,0.155737705,0.378688525
housedust HR,0.080188679,0.033018868,0.323113208,0.049528302,0.087264151,0.117924528,0.308962264
housedust LR,0.025862069,0.030172414,0.245689655,0.060344828,0.034482759,0.193965517,0.409482759
cottondust NR,0.029739777,0.037174721,0.219330855,0.044609665,0.081784387,0.197026022,0.390334572
cottondust KR,0,0,0.5,0,0,0,0.5
cottondust MR,0.043338684,0.040128411,0.306581059,0.032102729,0.06741573,0.149277689,0.361155698
cottondust HR,0.105769231,0.024038462,0.293269231,0.076923077,0.057692308,0.096153846,0.346153846
cottondust LR,0.046875,0.05,0.234375,0.0375,0.04375,0.1875,0.4
aspergilus NR,0.034976153,0.038155803,0.292527822,0.022257552,0.054054054,0.178060413,0.379968203
aspergilus KR,0.166666667,0,0.333333333,0.166666667,0,0.166666667,0.166666667
aspergilus MR,0.082018927,0.05362776,0.23659306,0.066246057,0.075709779,0.116719243,0.369085174
aspergilus HR,0.079545455,0.039772727,0.227272727,0.056818182,0.096590909,0.193181818,0.306818182
aspergilus LR,0.030612245,0.027210884,0.292517007,0.047619048,0.051020408,0.142857143,0.408163265
pollen NR,0.006896552,0.034482759,0.262068966,0.013793103,0.04137931,0.282758621,0.35862069
pollen KR,0,0,0.333333333,0,0,0.666666667,0
pollen MR,0.060422961,0.040785498,0.270392749,0.039274924,0.069486405,0.141993958,0.377643505
pollen HR,0.064615385,0.033846154,0.264615385,0.067692308,0.073846154,0.138461538,0.356923077
pollen LR,0.034843206,0.045296167,0.289198606,0.034843206,0.048780488,0.153310105,0.393728223
parthenium NR,0.038167939,0.015267176,0.267175573,0.022900763,0.030534351,0.20610687,0.419847328
parthenium KR,0,0,0,0,0,1,0
parthenium MR,0.03807947,0.048013245,0.296357616,0.039735099,0.07781457,0.135761589,0.364238411
parthenium HR,0.078651685,0.040449438,0.235955056,0.065168539,0.076404494,0.146067416,0.357303371
parthenium LR,0.0375,0.029166667,0.283333333,0.016666667,0.020833333,0.208333333,0.404166667
cockroach NR,0.02,0.033333333,0.226666667,0.026666667,0.066666667,0.206666667,0.42
cockroach KR,0,0,0.4,0,0,0.4,0.2
cockroach MR,0.048824593,0.039783002,0.298372514,0.037974684,0.057866184,0.16636528,0.350813743
cockroach HR,0.067538126,0.05664488,0.259259259,0.063180828,0.082788671,0.11328976,0.357298475
cockroach LR,0.043137255,0.011764706,0.262745098,0.023529412,0.039215686,0.192156863,0.42745098
catdander NR,0.045454545,0.045454545,0.25,0.113636364,0.159090909,0.090909091,0.295454545
catdander KR,0.050258684,0.039911308,0.274944568,0.040650407,0.059127864,0.161123429,0.37398374
catdander MR,0,0,0.25,0,0,0,0.75
catdander HR,0,0,0,0,0.4,0.2,0.4
catdander LR,0.125,0,0.1875,0,0.0625,0.1875,0.4375
dogfur NR,0.073170732,0.048780488,0.292682927,0.024390244,0.024390244,0.195121951,0.341463415
dogfur KR,0.045941807,0.039050536,0.274885145,0.039816233,0.060490046,0.160030628,0.379785605
dogfur MR,0.068965517,0.034482759,0.137931034,0.034482759,0.172413793,0.172413793,0.379310345
dogfur HR,0.25,0,0.125,0.125,0,0.125,0.375
dogfur LR,0.131578947,0.052631579,0.289473684,0.131578947,0.131578947,0.078947368,0.184210526
roaddust KR,0.050632911,0.039381153,0.272151899,0.042194093,0.063291139,0.158931083,0.373417722
oldpdust LR,0,0,0,0,0,0.666666667,0.333333333
oldpdust NR,0,0,0.333333333,0,0,0.333333333,0.333333333
oldpdust KR,0.050883392,0.039575972,0.272084806,0.042402827,0.06360424,0.157597173,0.37385159
oldpdust MR,0,0,1,0,0,0,0
PSdust LR,0,0,0,0,0,0,1
PSdust NR,0,0,1,0,0,0,0
PSdust KR,0.050847458,0.039548023,0.271892655,0.042372881,0.063559322,0.15960452,0.372175141
PSdust MR,0,0,0.5,0,0,0,0.5
MilkP NR,0.051305131,0.0270027,0.280828083,0.03960396,0.058505851,0.162016202,0.380738074
MilkP KR,0.033898305,0.194915254,0.203389831,0.059322034,0.076271186,0.13559322,0.296610169
MilkP MR,0.069767442,0,0.279069767,0.069767442,0.11627907,0.139534884,0.325581395
MilkP HR,0,0,0,0,0,0.166666667,0.833333333
MilkP LR,0.055555556,0.020833333,0.270833333,0.041666667,0.076388889,0.159722222,0.375
MilkC NR,0.03030303,0.015151515,0.287878788,0.060606061,0.03030303,0.227272727,0.348484848
MilkC KR,0.051262433,0.041315991,0.277735272,0.04055088,0.062739097,0.156082632,0.370313695
MilkC MR,0.111111111,0,0,0,0.333333333,0.111111111,0.444444444
MilkC HR,0.2,0,0,0,0,0.4,0.4
MilkC LR,0.028571429,0.028571429,0.142857143,0.085714286,0.085714286,0.114285714,0.514285714
curd NR,0.043875686,0.031078611,0.241316271,0.0511883,0.07678245,0.149908592,0.405850091
curd KR,0.047761194,0.043283582,0.320895522,0.031343284,0.058208955,0.173134328,0.325373134
curd MR,0.113207547,0.037735849,0.094339623,0.037735849,0.075471698,0.188679245,0.452830189
curd HR,0.125,0,0.25,0,0.125,0,0.5
curd LR,0.0625,0.055555556,0.229166667,0.0625,0.027777778,0.125,0.4375
coffee NR,0.02991453,0.021367521,0.294871795,0.042735043,0.102564103,0.14957265,0.358974359
coffee KR,0.047342995,0.047342995,0.276328502,0.037681159,0.059903382,0.157487923,0.373913043
coffee MR,0.108108108,0.027027027,0.27027027,0.081081081,0.054054054,0.189189189,0.27027027
coffee HR,0,0,0.181818182,0,0.090909091,0.363636364,0.363636364
coffee LR,0.114285714,0.00952381,0.19047619,0.076190476,0.00952381,0.161904762,0.438095238
tea NR,0.02484472,0.040372671,0.270186335,0.046583851,0.049689441,0.173913043,0.394409938
tea KR,0.059945504,0.044959128,0.29972752,0.039509537,0.065395095,0.159400545,0.33106267
tea MR,0.060606061,0.03030303,0.242424242,0.050505051,0.080808081,0.131313131,0.404040404
tea HR,0.058823529,0,0.117647059,0.147058824,0.058823529,0.235294118,0.382352941
tea LR,0.051502146,0.030042918,0.223175966,0.025751073,0.068669528,0.137339056,0.463519313
beef LR,0.025,0.075,0.275,0.075,0.05,0.15,0.35
beef NR,0.050359712,0.014388489,0.251798561,0.028776978,0.071942446,0.223021583,0.35971223
beef KR,0.052117264,0.040716612,0.276872964,0.041530945,0.061889251,0.15228013,0.374592834
beef MR,0,0.066666667,0.066666667,0.133333333,0.133333333,0.133333333,0.466666667
chicken NR,0.046989721,0.02349486,0.309838473,0.032305433,0.066079295,0.151248164,0.370044053
chicken KR,0.049773756,0.076923077,0.233031674,0.047511312,0.049773756,0.199095023,0.343891403
chicken MR,0.057142857,0.014285714,0.242857143,0.114285714,0.085714286,0.114285714,0.371428571
chicken HR,0.0625,0.125,0.0625,0.0625,0.125,0.125,0.4375
chicken LR,0.061032864,0.014084507,0.258215962,0.037558685,0.070422535,0.117370892,0.441314554
mutton NR,0.055674518,0.029978587,0.284796574,0.047109208,0.070663812,0.137044968,0.374732334
mutton KR,0.040650407,0.046070461,0.277777778,0.029810298,0.055555556,0.185636856,0.364498645
mutton MR,0.102941176,0.044117647,0.161764706,0.088235294,0.029411765,0.147058824,0.426470588
mutton HR,0.047619048,0.047619048,0.095238095,0.047619048,0.19047619,0.095238095,0.476190476
mutton LR,0.0625,0.03125,0.28125,0.0703125,0.078125,0.1015625,0.375
egg NR,0.054393305,0.027894003,0.288702929,0.034867503,0.064156206,0.156206416,0.373779637
egg KR,0.04576659,0.066361556,0.242562929,0.034324943,0.054919908,0.173913043,0.38215103
egg MR,0.055555556,0,0.244444444,0.1,0.122222222,0.122222222,0.355555556
egg HR,0,0.142857143,0.285714286,0.071428571,0.214285714,0.071428571,0.214285714
egg LR,0.048780488,0.030487805,0.292682927,0.06097561,0.036585366,0.158536585,0.37195122
fishA NR,0.043103448,0.022413793,0.310344828,0.043103448,0.063793103,0.151724138,0.365517241
fishA KR,0.046931408,0.063176895,0.254512635,0.030685921,0.055956679,0.171480144,0.377256318
fishA MR,0.057971014,0.057971014,0.130434783,0.072463768,0.101449275,0.15942029,0.420289855
fishA HR,0,0,0.166666667,0,0,0.166666667,0.666666667
fishA LR,0.079812207,0.018779343,0.262910798,0.061032864,0.070422535,0.145539906,0.361502347
fishB NR,0.047008547,0.023504274,0.271367521,0.051282051,0.072649573,0.155982906,0.378205128
fishB KR,0.050938338,0.053619303,0.261394102,0.037533512,0.061662198,0.167560322,0.367292225
fishB MR,0.097560976,0.024390244,0.146341463,0.146341463,0.12195122,0.12195122,0.341463415
fishB HR,0,0,0.333333333,0,0,0,0.666666667
fishB LR,0.048780488,0.024390244,0.353658537,0.012195122,0.030487805,0.140243902,0.390243902
crab NR,0.046692607,0.027237354,0.284046693,0.035019455,0.038910506,0.155642023,0.412451362
crab KR,0.049796748,0.045731707,0.271341463,0.036585366,0.06504065,0.166666667,0.364837398
crab MR,0.039215686,0.039215686,0.254901961,0.117647059,0.176470588,0.058823529,0.31372549
crab HR,0.052631579,0,0.210526316,0.157894737,0.105263158,0.157894737,0.315789474
crab LR,0.072072072,0.018018018,0.27027027,0.054054054,0.045045045,0.144144144,0.396396396
prawns NR,0.041942605,0.024282561,0.282560706,0.041942605,0.059602649,0.161147903,0.388520971
prawns KR,0.049435028,0.056497175,0.264124294,0.042372881,0.064971751,0.168079096,0.354519774
prawns MR,0.034482759,0.017241379,0.24137931,0.051724138,0.103448276,0.120689655,0.431034483
prawns HR,0.103448276,0.034482759,0.103448276,0,0.068965517,0.103448276,0.586206897
prawns LR,0.074712644,0.017241379,0.316091954,0.045977011,0.051724138,0.137931034,0.356321839
shark NR,0.106060606,0.015151515,0.318181818,0.060606061,0.060606061,0.136363636,0.303030303
shark KR,0.047372317,0.040710585,0.270910437,0.041450777,0.063656551,0.159141377,0.376757957
shark MR,0.5,0,0,0,0,0,0.5
shark HR,0,0,0,0,0,0,1
shark LR,0,0,0,0,0,1,0
avaraikai NR,0.052,0.022,0.268,0.044,0.06,0.152,0.402
avaraikai KR,0.047091413,0.055401662,0.29501385,0.033240997,0.06232687,0.167590028,0.33933518
avaraikai MR,0.06779661,0.016949153,0.169491525,0.06779661,0.033898305,0.13559322,0.508474576
avaraikai HR,0.181818182,0,0.181818182,0.090909091,0.181818182,0.090909091,0.272727273
avaraikai LR,0.046153846,0.030769231,0.215384615,0.069230769,0.084615385,0.153846154,0.4
banana NR,0.05,0.025,0.308333333,0.033333333,0.045833333,0.108333333,0.429166667
banana KR,0.049063336,0.043710972,0.27029438,0.045495094,0.068688671,0.167707404,0.355040143
banana MR,0.1,0,0.2,0,0,0.2,0.5
banana HR,0,0,0,0,0,0,1
banana LR,0.081632653,0.020408163,0.163265306,0.020408163,0.040816327,0.204081633,0.469387755
beans NR,0.050847458,0.018079096,0.277966102,0.036158192,0.073446328,0.170621469,0.372881356
beans KR,0.033980583,0.13592233,0.281553398,0.019417476,0.053398058,0.17961165,0.296116505
beans MR,0.035714286,0.047619048,0.333333333,0.05952381,0.047619048,0.142857143,0.333333333
beans HR,0,0.071428571,0.214285714,0.142857143,0,0.071428571,0.5
beans LR,0.072961373,0.030042918,0.223175966,0.072961373,0.042918455,0.107296137,0.450643777
beetroot NR,0.048728814,0.038135593,0.262711864,0.052966102,0.06779661,0.13559322,0.394067797
beetroot KR,0.050666667,0.048,0.294666667,0.029333333,0.058666667,0.177333333,0.341333333
beetroot MR,0.102040816,0,0.183673469,0.06122449,0.06122449,0.102040816,0.489795918
beetroot HR,0,0,0,0.2,0,0.8,0
beetroot LR,0.04109589,0.01369863,0.226027397,0.061643836,0.075342466,0.136986301,0.445205479
brinjal NR,0.044410413,0.027565084,0.303215926,0.041347626,0.06431853,0.166921899,0.352220521
brinjal KR,0.036923077,0.089230769,0.172307692,0.04,0.055384615,0.169230769,0.436923077
brinjal MR,0.094117647,0.023529412,0.270588235,0.058823529,0.058823529,0.129411765,0.364705882
brinjal HR,0.111111111,0,0.388888889,0.111111111,0,0.111111111,0.277777778
brinjal LR,0.061583578,0.020527859,0.302052786,0.038123167,0.073313783,0.143695015,0.360703812
cabbage NR,0.046898638,0.027231467,0.276853253,0.037821483,0.049924357,0.167927383,0.393343419
cabbage KR,0.053082192,0.059931507,0.280821918,0.042808219,0.066780822,0.159246575,0.337328767
cabbage MR,0.085714286,0,0.114285714,0.028571429,0.085714286,0.171428571,0.514285714
cabbage HR,0.25,0,0,0,0,0.25,0.5
cabbage LR,0.043478261,0.02173913,0.260869565,0.065217391,0.108695652,0.108695652,0.391304348
capsicum NR,0.089473684,0.026315789,0.236842105,0.026315789,0.057894737,0.157894737,0.405263158
capsicum KR,0.045112782,0.042606516,0.277360067,0.043441938,0.060985798,0.159565581,0.370927318
capsicum MR,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222
capsicum HR,0,0,0.333333333,0,0,0,0.666666667
capsicum LR,0.043478261,0,0.304347826,0.043478261,0.217391304,0.130434783,0.260869565
chillie LR,0.222222222,0,0,0,0,0.222222222,0.555555556
chillie NR,0.035087719,0.026315789,0.271929825,0.061403509,0.070175439,0.166666667,0.368421053
chillie KR,0.050886662,0.040863531,0.274479568,0.040863531,0.063222822,0.158057055,0.371626831
chillie MR,0,0,0,0,0,0,1
cauliflower NR,0.055555556,0.01754386,0.280701754,0.058479532,0.049707602,0.160818713,0.377192982
cauliflower KR,0.046391753,0.048453608,0.272164948,0.041237113,0.072164948,0.155670103,0.363917526
cauliflower MR,0.071428571,0.035714286,0.107142857,0,0.035714286,0.321428571,0.428571429
cauliflower HR,0,0,0.333333333,0,0,0.333333333,0.333333333
cauliflower LR,0.075949367,0.025316456,0.291139241,0,0.025316456,0.126582278,0.455696203
carrot NR,0.049067713,0.025515211,0.296368989,0.048086359,0.062806673,0.146221786,0.371933268
carrot KR,0.029069767,0.145348837,0.23255814,0.01744186,0.063953488,0.203488372,0.308139535
carrot MR,0.044444444,0.044444444,0.111111111,0.044444444,0.088888889,0.177777778,0.488888889
carrot HR,0.142857143,0,0.285714286,0.071428571,0.071428571,0,0.428571429
carrot LR,0.075581395,0.01744186,0.209302326,0.029069767,0.058139535,0.197674419,0.412790698
chowchow NR,0.061032864,0.03286385,0.267605634,0.037558685,0.046948357,0.159624413,0.394366197
chowchow KR,0.047129392,0.041988003,0.274207369,0.041131105,0.066838046,0.159383033,0.369323051
chowchow MR,0.111111111,0,0.333333333,0.111111111,0,0,0.444444444
chowchow HR,0,0,0,0,0,0.6,0.4
chowchow LR,0.107142857,0,0.25,0.107142857,0.071428571,0.107142857,0.357142857
corn NR,0.058333333,0.008333333,0.216666667,0.041666667,0.041666667,0.191666667,0.441666667
corn KR,0.048742138,0.043238994,0.279874214,0.040880503,0.063679245,0.155660377,0.367924528
corn MR,0.25,0,0,0,0,0,0.75
corn HR,0,0,0.333333333,0,0.333333333,0,0.333333333
corn LR,0.086956522,0,0.173913043,0.130434783,0.130434783,0.217391304,0.260869565
cucumber NR,0.074380165,0.024793388,0.289256198,0.033057851,0.066115702,0.190082645,0.32231405
cucumber KR,0.047730829,0.040688576,0.270735524,0.043035994,0.063380282,0.157276995,0.3771518
cucumber MR,0,0,0.666666667,0,0,0,0.333333333
cucumber HR,0,0,0,0,0,0,1
cucumber LR,0.105263158,0.052631579,0.210526316,0.052631579,0.052631579,0.105263158,0.421052632
drumstick NR,0.051204819,0.026104418,0.275100402,0.047188755,0.067269076,0.164658635,0.368473896
drumstick KR,0.046052632,0.138157895,0.302631579,0.026315789,0.052631579,0.151315789,0.282894737
drumstick MR,0.064516129,0.032258065,0.193548387,0.048387097,0.096774194,0.177419355,0.387096774
drumstick HR,0,0,0.142857143,0,0,0.142857143,0.714285714
drumstick LR,0.048780488,0.034146341,0.263414634,0.029268293,0.043902439,0.131707317,0.448780488
greens NR,0.046814044,0.028608583,0.292587776,0.035110533,0.061118336,0.162548765,0.373211964
greens KR,0.034482759,0.113300493,0.320197044,0.034482759,0.039408867,0.172413793,0.285714286
greens MR,0.067961165,0.048543689,0.194174757,0.048543689,0.087378641,0.097087379,0.45631068
greens HR,0.090909091,0.045454545,0.227272727,0.090909091,0.136363636,0.090909091,0.318181818
greens LR,0.061538462,0.015384615,0.221538462,0.058461538,0.070769231,0.166153846,0.406153846
gourds NR,0.055782313,0.039455782,0.281632653,0.046258503,0.059863946,0.153741497,0.363265306
gourds KR,0.037924152,0.0499002,0.275449102,0.021956088,0.067864271,0.175648703,0.371257485
gourds MR,0.090909091,0.03030303,0.060606061,0.090909091,0.151515152,0.151515152,0.424242424
gourds HR,0.333333333,0,0,0.333333333,0,0,0.333333333
gourds LR,0.053333333,0.006666667,0.266666667,0.073333333,0.046666667,0.133333333,0.42
kovaikai NR,0.055555556,0.03030303,0.267676768,0.060606061,0.045454545,0.161616162,0.378787879
kovaikai KR,0.049747049,0.040472175,0.274873524,0.037099494,0.065767285,0.161045531,0.370994941
kovaikai MR,0.285714286,0,0,0,0.142857143,0.142857143,0.428571429
kovaikai HR,0,0.5,0,0.5,0,0,0
kovaikai LR,0,0.034482759,0.275862069,0.103448276,0.068965517,0.068965517,0.448275862
kothavarai LR,0.25,0,0.25,0,0.083333333,0,0.416666667
kothavarai NR,0.098591549,0.056338028,0.211267606,0.056338028,0.056338028,0.126760563,0.394366197
kothavarai KR,0.046337818,0.038863976,0.275784753,0.041853513,0.063527653,0.162182362,0.371449925
kothavarai MR,0,0,0,0,0,0,1
Lfinger NR,0.040376851,0.0269179,0.282637954,0.034993271,0.065948856,0.169582773,0.379542396
Lfinger KR,0.03649635,0.080291971,0.339416058,0.03649635,0.040145985,0.167883212,0.299270073
Lfinger MR,0.092307692,0.061538462,0.153846154,0.069230769,0.076923077,0.130769231,0.415384615
